PMID,Title,Authors,Citation,First.Author,Journal.Book,Publication.Year,Create.Date,PMCID,NIHMS.ID,DOI,type,subset
39935081,2025 iCatCare consensus guidelines on the diagnosis and management of lower urinary tract diseases in cats,"Taylor S, Boysen S, Buffington T, Chalhoub S, Defauw P, Delgado MM, Gunn-Moore D, Korman R.",J Feline Med Surg. 2025 Feb;27(2):1098612X241309176. doi: 10.1177/1098612X241309176.,Taylor S,J Feline Med Surg,2025,2/12/25,PMC11816079,,10.1177/1098612X241309176,pubmed_pmc,all
39699926,European S2k guidelines for hidradenitis suppurativa/acne inversa part 2: Treatment,"Zouboulis CC, Bechara FG, Benhadou F, Bettoli V, Bukvić Mokos Z, Del Marmol V, Dolenc-Voljč M, Giamarellos-Bourboulis EJ, Grimstad Ø, Guillem P, Horváth B, Hunger RE, Ingram JR, Ioannidis D, Just E, Kemény L, Kirby B, Liakou AI, McGrath BM, Marzano AV, Matusiak Ł, Molina-Leyva A, Nassif A, Podda M, Prens EP, Prignano F, Raynal H, Romanelli M, Saunte DML, Szegedi A, Szepietowski JC, Tzellos T, Valiukevičienė S, van der Zee HH, van Straalen KR, Villumsen B, Jemec GBE.",J Eur Acad Dermatol Venereol. 2025 May;39(5):899-941. doi: 10.1111/jdv.20472. Epub 2024 Dec 19.,Zouboulis CC,J Eur Acad Dermatol Venereol,2025,12/19/24,PMC12023723,,10.1111/jdv.20472,pubmed_pmc,all
39936923,"Canadian Network for Mood and Anxiety Treatments 2024 Clinical Practice Guideline for the Management of Perinatal Mood, Anxiety, and Related Disorders: Guide de pratique 2024 du Canadian Network for Mood and Anxiety Treatments pour le traitement des troubles de l'humeur, des troubles anxieux et des troubles connexes périnatals","Vigod SN, Frey BN, Clark CT, Grigoriadis S, Barker LC, Brown HK, Charlebois J, Dennis CL, Fairbrother N, Green SM, Letourneau NL, Oberlander TF, Sharma V, Singla DR, Stewart DE, Tomasi P, Ellington BD, Fleury C, Tarasoff LA, Tomfohr-Madsen LM, Da Costa D, Beaulieu S, Brietzke E, Kennedy SH, Lam RW, Milev RV, Parikh SV, Ravindran AV, Samaan Z, Schaffer A, Taylor VH, Tourjman SV, Ameringen MV, Yatham LN, Van Lieshout RJ.",Can J Psychiatry. 2025 Jun;70(6):429-489. doi: 10.1177/07067437241303031. Epub 2025 Feb 12.,Vigod SN,Can J Psychiatry,2025,2/12/25,PMC11985483,,10.1177/07067437241303031,pubmed_pmc,all
41224734,iCatCare 2025 consensus guidelines on the diagnosis and management of diabetes mellitus in cats,"Taylor S Panel Chair, Cannon M, Church D, Fleeman L, Fracassi F, Gilor C, Mott J, Niessen S.",J Feline Med Surg. 2025 Nov;27(11):1098612X251399103. doi: 10.1177/1098612X251399103. Epub 2025 Nov 12.,Taylor S Panel Chair,J Feline Med Surg,2025,11/12/25,PMC12612538,,10.1177/1098612X251399103,pubmed_pmc,all
40840485,A clinical practice guideline for tuberculous meningitis,"Donovan J, Cresswell FV, Tucker EW, Davis AG, Rohlwink UK, Huynh J, Solomons R, Seddon JA, Bahr NC, van Laarhoven A, Anderson ST, Jain SK, Chow FC, Pattison S, Scriven JE, Singh G, Aarnoutse RE, Alffenaar JC, Dian S, Manesh A, Basu Roy R, Singh V, van Toorn R, Upton CM, van Crevel R, Dooley KE, Gibb D, Meya D, Wilkinson RJ, Rogozińska E, Misra UK, Figaji A, Thwaites GE.",Lancet Infect Dis. 2026 Feb;26(2):e96-e111. doi: 10.1016/S1473-3099(25)00364-0. Epub 2025 Aug 18.,Donovan J,Lancet Infect Dis,2026,8/21/25,PMC12419961,EMS209041,10.1016/S1473-3099(25)00364-0,pubmed_pmc,all
39914499,"Society for Cardiovascular Magnetic Resonance reference values (""normal values"") in cardiovascular magnetic resonance: 2025 update","Kawel-Boehm N, Hetzel SJ, Ambale-Venkatesh B, Captur G, Chin CWL, François CJ, Jerosch-Herold M, Luu JM, Raisi-Estabragh Z, Starekova J, Taylor M, van Hout M, Bluemke DA.",J Cardiovasc Magn Reson. 2025 Summer;27(1):101853. doi: 10.1016/j.jocmr.2025.101853. Epub 2025 Feb 4.,Kawel-Boehm N,J Cardiovasc Magn Reson,2025,2/6/25,PMC12159681,,10.1016/j.jocmr.2025.101853,pubmed_pmc,all
40789597,Pharmacotherapy for obesity management in adults: 2025 clinical practice guideline update,"Pedersen SD, Manjoo P, Dash S, Jain A, Pearce N, Poddar M.",CMAJ. 2025 Aug 10;197(27):E797-E809. doi: 10.1503/cmaj.250502.,Pedersen SD,CMAJ,2025,8/11/25,PMC12350384,,10.1503/cmaj.250502,pubmed_pmc,all
41081513,British Dietetic Association Guidelines for the Dietary Management of Chronic Constipation in Adults,"Dimidi E, van der Schoot A, Barrett K, Farmer AD, Lomer MC, Scott SM, Whelan K.",J Hum Nutr Diet. 2025 Oct;38(5):e70133. doi: 10.1111/jhn.70133.,Dimidi E,J Hum Nutr Diet,2025,10/13/25,PMC12517116,,10.1111/jhn.70133,pubmed_pmc,all
40526204,Joint Clinical Practice Guideline on Benzodiazepine Tapering: Considerations When Risks Outweigh Benefits,"Brunner E, Chen CA, Klein T, Maust D, Mazer-Amirshahi M, Mecca M, Najera D, Ogbonna C, Rajneesh KF, Roll E, Sanders AE, Snodgrass B, VandenBerg A, Wright T, Boyle M, Devoto A, Framnes-DeBoer S, Kleykamp B, Norrington J, Lindsay D; Clinical Guideline Committee (CGC) Members; ASAM Staff and Contractors.",J Gen Intern Med. 2025 Sep;40(12):2814-2859. doi: 10.1007/s11606-025-09499-2. Epub 2025 Jun 17.,Brunner E,J Gen Intern Med,2025,6/17/25,PMC12463801,,10.1007/s11606-025-09499-2,pubmed_pmc,all
40685806,Australasian Bronchiolitis Guideline: 2025 Update,"Borland ML, Loveys K, Babl FE, Cotterell E, Haskell L, O'Brien S, Oakley E, Wilson CL, Alsweiler J, Armstrong D, Craig SS, Crawford NW, Crellin D, Crone S, Duke T, George S, Jeffries-Stokes C, Krishnan N, Lithgow A, Peacock K, Ratoni T, Richmond P, Smith A, Starkie R, Thomas D, Wallace A, Zhang M, Tavender E, Dalziel SR; Paediatric Research in Emergency Departments International Collaborative (PREDICT) Network, Australasia.",J Paediatr Child Health. 2025 Aug;61(8):1197-1215. doi: 10.1111/jpc.70144. Epub 2025 Jul 20.,Borland ML,J Paediatr Child Health,2025,7/21/25,PMC12397848,,10.1111/jpc.70144,pubmed_pmc,all
