PMID,Title,Authors,Citation,First.Author,Journal.Book,Publication.Year,Create.Date,PMCID,NIHMS.ID,DOI
39781571,"Elective peri-operative management of adults taking glucagon-like peptide-1 receptor agonists, glucose-dependent insulinotropic peptide agonists and sodium-glucose cotransporter-2 inhibitors: a multidisciplinary consensus statement: A consensus statement from the Association of Anaesthetists, Association of British Clinical Diabetologists, British Obesity and Metabolic Surgery Society, Centre for Perioperative Care, Joint British Diabetes Societies for Inpatient Care, Royal College of Anaesthetists, Society for Obesity and Bariatric Anaesthesia and UK Clinical Pharmacy Association","El-Boghdadly K, Dhesi J, Fabb P, Levy N, Lobo DN, McKechnie A, Mustafa O, Newland-Jones P, Patel A, Pournaras DJ, Clare K, Dhatariya K.",Anaesthesia. 2025 Apr;80(4):412-424. doi: 10.1111/anae.16541. Epub 2025 Jan 9.,El-Boghdadly K,Anaesthesia,2025,1/9/25,PMC11885194.txt,NA,10.1111/anae.16541
38839472,PeriOperative Quality Initiative (POQI) international consensus statement on perioperative arterial pressure management,"Saugel B, Fletcher N, Gan TJ, Grocott MPW, Myles PS, Sessler DI; PeriOperative Quality Initiative XI (POQI XI) Workgroup Members.",Br J Anaesth. 2024 Aug;133(2):264-276. doi: 10.1016/j.bja.2024.04.046. Epub 2024 Jun 4.,Saugel B,Br J Anaesth,2024,6/5/24,PMC11282474.txt,NA,10.1016/j.bja.2024.04.046
38407228,REDISCOVER International Guidelines on the Perioperative Care of Surgical Patients With Borderline-resectable and Locally Advanced Pancreatic Cancer,"Boggi U, Kauffmann E, Napoli N, Barreto SG, Besselink MG, Fusai GK, Hackert T, Abu Hilal M, Marchegiani G, Salvia R, Shrikhande SV, Truty M, Werner J, Wolfgang CL, Bannone E, Capretti G, Cattelani A, Coppola A, Cucchetti A, De Sio D, Di Dato A, Di Meo G, Fiorillo C, Gianfaldoni C, Ginesini M, Hidalgo Salinas C, Lai Q, Miccoli M, Montorsi R, Pagnanelli M, Poli A, Ricci C, Sucameli F, Tamburrino D, Viti V, Addeo PF, Alfieri S, Bachellier P, Baiocchi GL, Balzano G, Barbarello L, Brolese A, Busquets J, Butturini G, Caniglia F, Caputo D, Casadei R, Chunhua X, Colangelo E, Coratti A, Costa F, Crafa F, Dalla Valle R, De Carlis L, de Wilde RF, Del Chiaro M, Di Benedetto F, Di Sebastiano P, Dokmak S, Hogg M, Egorov VI, Ercolani G, Ettorre GM, Falconi M, Ferrari G, Ferrero A, Filauro M, Giardino A, Grazi GL, Gruttadauria S, Izbicki JR, Jovine E, Katz M, Keck T, Khatkov I, Kiguchi G, Kooby D, Lang H, Lombardo C, Malleo G, Massani M, Mazzaferro V, Memeo R, Miao Y, Mishima K, Molino C, Nagakawa Y, Nakamura M, Nardo B, Panaro F, Pasquali C, Perrone V, Rangelova E, Liu R, Romagnoli R, Romito R, Rosso E, Schulick R, Siriwardena A, Spampinato MG, et al.",Ann Surg. 2024 Jul 1;280(1):56-65. doi: 10.1097/SLA.0000000000006248. Epub 2024 Feb 26.,Boggi U,Ann Surg,2024,2/26/24,PMC11161250.txt,NA,10.1097/SLA.0000000000006248
28168570,Early enteral nutrition in critically ill patients: ESICM clinical practice guidelines,"Reintam Blaser A, Starkopf J, Alhazzani W, Berger MM, Casaer MP, Deane AM, Fruhwald S, Hiesmayr M, Ichai C, Jakob SM, Loudet CI, Malbrain ML, Montejo González JC, Paugam-Burtz C, Poeze M, Preiser JC, Singer P, van Zanten AR, De Waele J, Wendon J, Wernerman J, Whitehouse T, Wilmer A, Oudemans-van Straaten HM; ESICM Working Group on Gastrointestinal Function.",Intensive Care Med. 2017 Mar;43(3):380-398. doi: 10.1007/s00134-016-4665-0. Epub 2017 Feb 6.,Reintam Blaser A,Intensive Care Med,2017,2/8/17,PMC5323492.txt,NA,10.1007/s00134-016-4665-0
40448969,"2025 Guidelines for direct oral anticoagulants: a practical guidance on the prescription, laboratory testing, peri-operative and bleeding management","Tran HA, Merriman E, Baker R, Curnow J, Young L, Tan CW, McRae S, Chunilal SD.",Intern Med J. 2025 Jul;55(7):1174-1183. doi: 10.1111/imj.70103. Epub 2025 May 31.,Tran HA,Intern Med J,2025,5/31/25,PMC12240022.txt,NA,10.1111/imj.70103
38684573,"REDISCOVER guidelines for borderline-resectable and locally advanced pancreatic cancer: management algorithm, unanswered questions, and future perspectives","Boggi U, Kauffmann EF, Napoli N, Barreto SG, Besselink MG, Fusai GK, Hackert T, Hilal MA, Marchegiani G, Salvia R, Shrikhande SV, Truty M, Werner J, Wolfgang C, Bannone E, Capretti G, Cattelani A, Coppola A, Cucchetti A, De Sio D, Di Dato A, Di Meo G, Fiorillo C, Gianfaldoni C, Ginesini M, Hidalgo Salinas C, Lai Q, Miccoli M, Montorsi R, Pagnanelli M, Poli A, Ricci C, Sucameli F, Tamburrino D, Viti V, Cameron J, Clavien PA, Asbun HJ; REDISCOVER guidelines group.",Updates Surg. 2024 Sep;76(5):1573-1591. doi: 10.1007/s13304-024-01860-0. Epub 2024 Apr 29.,Boggi U,Updates Surg,2024,4/29/24,PMC11455680.txt,NA,10.1007/s13304-024-01860-0
38381359,Intraoperative haemodynamic monitoring and management of adults having non-cardiac surgery: Guidelines of the German Society of Anaesthesiology and Intensive Care Medicine in collaboration with the German Association of the Scientific Medical Societies,"Saugel B, Annecke T, Bein B, Flick M, Goepfert M, Gruenewald M, Habicher M, Jungwirth B, Koch T, Kouz K, Meidert AS, Pestel G, Renner J, Sakka SG, Sander M, Treskatsch S, Zitzmann A, Reuter DA.",J Clin Monit Comput. 2024 Oct;38(5):945-959. doi: 10.1007/s10877-024-01132-7. Epub 2024 Feb 21.,Saugel B,J Clin Monit Comput,2024,2/21/24,PMC11427556.txt,NA,10.1007/s10877-024-01132-7
28742762,KDIGO Clinical Practice Guideline on the Evaluation and Care of Living Kidney Donors,"Lentine KL, Kasiske BL, Levey AS, Adams PL, Alberú J, Bakr MA, Gallon L, Garvey CA, Guleria S, Li PK, Segev DL, Taler SJ, Tanabe K, Wright L, Zeier MG, Cheung M, Garg AX.",Transplantation. 2017 Aug;101(8S Suppl 1):S1-S109. doi: 10.1097/TP.0000000000001769.,Lentine KL,Transplantation,2017,7/26/17,PMC5540357.txt,NA,10.1097/TP.0000000000001769
39781579,Association of Anaesthetists guidelines: the use of blood components and their alternatives,"Shah A, Klein AA, Agarwal S, Lindley A, Ahmed A, Dowling K, Jackson E, Das S, Raviraj D, Collis R, Sharrock A, Stanworth SJ, Moor P.",Anaesthesia. 2025 Apr;80(4):425-447. doi: 10.1111/anae.16542. Epub 2025 Jan 9.,Shah A,Anaesthesia,2025,1/9/25,PMC11885198.txt,NA,10.1111/anae.16542
38942944,EAES/SAGES evidence-based recommendations and expert consensus on optimization of perioperative care in older adults,"Keller DS, Curtis N, Burt HA, Ammirati CA, Collings AT, Polk HC Jr, Carrano FM, Antoniou SA, Hanna N, Piotet LM, Hill S, Cuijpers ACM, Tejedor P, Milone M, Andriopoulou E, Kontovounisios C, Leeds IL, Awad ZT, Barber MW, Al-Mansour M, Nassif G, West MA, Pryor AD, Carli F, Demartines N, Bouvy ND, Passera R, Arezzo A, Francis N.",Surg Endosc. 2024 Aug;38(8):4104-4126. doi: 10.1007/s00464-024-10977-7. Epub 2024 Jun 28.,Keller DS,Surg Endosc,2024,6/28/24,PMC11289045.txt,NA,10.1007/s00464-024-10977-7
